"id","year","title","editor","url","tags","cover","isbn","numberOfPages","description","pdf","worldcat","publisher","exhibition"
"23129","2021","Computer Grrrls","Inke Arns, Marie Lechner","https://monoskop.org/log/?p=23129","algorithm, artificial intelligence, big data, cyberfeminism, hacking, internet, technofeminism, technology, women","https://monoskop.org/images/1/18/Arns_Inke_Lechner_Marie_eds_Computer_Grrrls_2021.jpg","9783862069071","191","_Computer Grrrls_ brings together 23 international artistic positions that negotiate the complex relationship between gender and technology in past and present. The book deals with the link between women and technology from the first human computers to the current revival of . An illustrated timeline with over 200 entries covers these developments from the 18th century to the present day.\n\nThe publication presents artists, hackers, makers and researchers who are working on how to think differently about technology: by questioning the gender bias in big data and artificial intelligence, promoting an open and diversified Internet, and designing utopian technologies.\n\nThe perspectives presented here address a broad range of topics: electronic colonialism, the place of minorities on the Internet, the sexist bias of algorithms, the dangerous dominance of white men in the development of artificial intelligence and digital surveillance, but also ideas on how we can change our traditional ways of thinking.\n\nArtists included: Morehshin Allahyari, Manetta Berends, Zach Blas & Jemima Wyman, Nadja Buttendorf, Elisabeth Caravella, Jennifer Chan, Aleksandra Domanović, Louise Drulhe, Elisa Giardina Papa, Darsha Hewitt, Lauren Huret, Hyphen-Labs, Dasha Ilina, Roberte la Rousse, Mary Maggic, Caroline Martel, Lauren Moffatt, Simone C. Niquille, Jenny Odell, Tabita Rezaire, Erica Scourti, Suzanne Treister, Lu Yang.","https://hmkv.de/files/hmkv/ausstellungen/03_Archiv/2018/GRLS/05_Publikation/GRLS_Magazin_digital_mit_Cover.pdf","","Kettler, Dortmund, and HMKV, Dortmund, May 2021","https://hmkv.de/exhibition/exhibition-detail/computer_grrrls.html"
"23084","2011","A Little-Known Story About a Movement, a Magazine, and The Computer’s Arrival in Art: New Tendencies and Bit International, 1961-1973","Margit Rosen, et al.","https://monoskop.org/log/?p=23084","1960s, 1970s, art and science, art history, artistic research, computer art, computing, conceptual art, concrete art, constructivism, cybernetics, design, kinetic art, media art, new tendencies, op art, yugoslavia","https://monoskop.org/images/d/d5/Rosen_Margit_ed_New_Tendencies_and_Bit_International_1961-1973_2011.jpg","9780262515818","576","When Zagreb was the epicenter of explorations into the aesthetic potential of the new “thinking machines.”\n\nThis book documents a short but intense artistic experiment that took place in Yugoslavia in the 1960s and 1970s but has been influential far beyond that time and place: the “little-known story” of the advent of computers in art. It was through the activities of the movement, begun in Zagreb in 1961, and its supporting institution the Galerija suvremene umjetnosti that the “thinking machine” was adopted as an artistic tool and medium. Pursuing the idea of “art as visual research,” the New Tendencies movement proceeded along a path that led from Concrete and Constructivist art, Op art, and Kinetic art to computer-generated graphics, film, and sculpture.\n\nWith their exhibitions and conferences and the 1968 launch of the multilingual, groundbreaking magazine , the New Tendencies transformed Zagreb—already one of the most vibrant artistic centers in Yugoslavia—into an international meeting place where artists, engineers, and scientists from both sides of the Iron Curtain gathered around the then-new technology. For a brief moment in time, Zagreb was the epicenter of explorations of the aesthetic, scientific, and political potential of the computer.\n\nThis volume documents that exhilarating period. It includes new essays by Jerko Denegri, Darko Fritz, Margit Rosen, and Peter Weibel; many texts that were first published in New Tendencies exhibition catalogs and _Bit International_ magazine; and historic documents. More than 650 black-and-white and color illustrations testify to the astonishing diversity of the exhibited artworks and introduce the movement’s protagonists. Many of the historic photographs, translations, and documents are published here for the first time. Taken together, the images and texts offer the long overdue history of the New Tendencies experiment and its impact on the art of the twentieth century.","http://marcell.memoryoftheworld.org/Margit%20Rosen/A%20Little-Known%20Story%20About%20a%20Movement,%20a%20Magazine,%20and%20the%20Computer's%20Arrival%20in%20Art_%20New%20Tende%20(3901)/A%20Little-Known%20Story%20About%20a%20Movement,%20a%20M%20-%20Margit%20Rosen.pdf","http://worldcat.org/oclc/676725801","ZKM Center for Art and Media, Karlsruhe, and MIT Press, Cambridge, MA, 2011","http://www02.zkm.de/bit/"
"22963","2014","Disobedient Objects","Catherine Flood, Gavin Grindon","https://monoskop.org/log/?p=22963","activism, design, direct action, disobedience, object, politics, protest, social movements, solidarity","https://monoskop.org/images/b/bd/Flood_Catherine_Grindon_Gavin_eds_Disobedient_Objects_2014.jpg","9781851777976","144","This book explores the material culture of radical change and protest – from objects familiar to many, such as banners or posters, to the more militant, cunning or technologically cutting-edge, including lock-ons, book-blocs and activist robots. Focusing on social movements since 1980, the book features an introductory essay by the curators examining the history of objects in protest and activism, followed by six essays that look at particular objects, and the contexts in which they are used. It demonstrates how political activism drives a wealth of design ingenuity and collective creativity that defy standard definitions of art and design. Accompanies the V&A exhibition Disobedient Objects, July 2014 to February 2015.","https://hostb.org/VAN/Flood,%20Catherine;%20Grindon,%20Gavin%20(eds.)%20-%20Disobedient%20Objects%202014.pdf","http://worldcat.org/oclc/880401017","V&A Publishing, London, 2014","http://www.vam.ac.uk/content/exhibitions/disobedient-objects/"
"22924","2021","Actions of Art & Solidarity","","https://monoskop.org/log/?p=22924","art, environment, politics, solidarity","https://monoskop.org/images/6/67/Actions_of_Art_and_Solidarity_2021.jpg","","55","_Actions of Art and Solidarity_ presents 76 works by artists, activists, collectives and thinkers from around the world, including Norway, catalysing cultural, socio-political and environmental solidarity across different geographies and contexts from the 1950s to the present day. Looking back in time and forward into the future, the exhibition displays artists’ extraordinary ability to narrate and build empathy around fundamental global conflicts and injustices, and provide the radical imaginaries of care and solidarity that can stimulate their resolution. The venue, Kunstnernes Hus (The Artists’ House, Oslo) has a symbolic value, since the institution has played a recurrent part in Norway’s own contribution to artistic solidarities – from presenting Pablo Picasso’s Guernica in 1938 during its international solidarity tour, to organising exhibitions of solidarity with other parts of the world. The exhibition also presents central instances of Norwegian solidarity artistic practices, as well as new works especially commissioned for the exhibition.\n\nThe case studies included in the exhibition have been sourced across four continents, and cover a 70-year time span of artistic creativity. The exhibition proposes that the solidarity imaginaries expressed by art works, and embodied by specific artistic actions, are always the outcome of the extensive processes of artist-led care-building that precede and succeed them. Moreover, it is those very networks of personal connectivity and empathy created by artists over time around a particular issue (in alliance and in friendship with everyday citizens and activists) and configured within their art works of solidarity, that inspire society at large to imagine life differently and step-forward in ways that generate profound transformation.","https://kunstnerneshus.no/uploads/Actions-of-Art-and-Solidarity-exhibition-booklet.pdf","","Kunstnernes Hus, Oslo, January 2021","https://kunstnerneshus.no/en/exhibitions/oca-art-solidarity"
"22910","2019","Artists & Agents: Performance Art and Secret Services","Inke Arns, Kata Krasznahorkai, Sylvia Sasse, and HMKV (Hartware MedienKunstverein)","https://monoskop.org/log/?p=22910","archive, art history, central europe, dissent, eastern europe, intelligence agency, performance art","https://monoskop.org/images/8/8b/Artists_and_Agents_Performance_Art_and_Secret_Services_2019.jpg","9783862068395","224","_Artists & Agents_ puts the spotlight on a neglected aspect of performance art from the 1960s to the 1990s: the interaction between secret services and performance art – an art form which the secret service agencies of communist Eastern European countries considered especially dangerous. Eastern Europe is one of the few places where archival records have been made public, and they reveal how these agencies acted to “undermine” and “eliminate” dissident artists. To achieve this objective, however, the agents themselves sometimes had to become “performance artists.”\n\nBuilding on in-depth research into the archival records of secret services in Hungary, Poland, the Czech Republic, Romania, and Germany, this publication shines a light on the files which the secret services of these countries kept about such artists. It showcases instances of artistic subversion and agent infiltration, some of which have not been disclosed before, while more recent works demonstrate that the issue of ramping up intelligence gathering operations in politics and everyday life is highly topical. This catalogue includes an introduction, a glossary explaining secret service terminology, entries on the relevant works of art, and background information on all of the files presented.","https://hmkv.de/files/hmkv/ausstellungen/2019/AGENTS/05_Publikation/HMKV_AGENTS_Magazin_DE-EN.pdf","http://worldcat.org/oclc/1202042124","Kettler, Dortmund, 2019","https://www.hmkv.de/exhibition/exhibition-detail/preview-artists-agents-performance-art-and-secret-services.html"
"22582","2020","Audiosphere: Sound Experimentation 1980-2020","the Publications Department of MNCARS","https://monoskop.org/log/?p=22582","experimental music, listening, sound, sound art","https://monoskop.org/images/f/f1/Audiosphere_Sound_Experimentation_1980-2020_2020.jpg","","194","By way of a selection of hundreds of sound works, _Audiosphere. Sound Experimentation 1980-2020_ looks to cover an historical and cultural void in terms of the recognition, exhibition and analysis of a key part of the recent changes that have taken place in the artistic conception of sound creation.\n\nIn the following catalogue, the curatorial discourse that articulates the exhibition is displayed along with some texts that affect the relevance of sound art in contemporary art and, with it, in the social field.","https://www.museoreinasofia.es/sites/default/files/audiosfera_ingles_14.10.20.pdf","","Museo Reina Sofía, Madrid, October 2020","https://www.museoreinasofia.es/en/exhibitions/audiosphere"
"22543","2018","Tanja Ostojić: Lexicon of Tanjas Ostojić","Tanja Ostojić","https://monoskop.org/log/?p=22543","art, feminism, gender, migration, performance art, politics, social practice, women","https://monoskop.org/images/9/9c/Ostojic_Tanja_Lexicon_of_Tanjas_Ostojic_2018.jpg","9780993561139","157","This publication is based upon the _Lexicon of Tanjas Ostojić_ (2011-2017), an interdisciplinary participatory research art project by Tanja Ostojić that included academic and artistic research, five creative workshops, a number of public events, one group performance, and two exhibitions involving more then 30 women.","https://monoskop.org/images/0/07/Ostojic_Tanja_Lexicon_of_Tanjas_Ostojic_2018.pdf","http://worldcat.org/oclc/1028774728","Live Art Development Agency, London, and Museum of Modern and Contemporary Art, Rijeka, 2018","https://eng.msub.org.rs/exhibition-lexicon-of-tanja-ostojic-salon-of-mocab"
"22451","2020","Eintritt in ein Lebewesen. Von der sozialen Skulptur zum Plattform-Kapitalismus / Journey Into a Living Being: From Social Sculpture to Platform Capitalism","Tilman Baumgärtel","https://monoskop.org/log/?p=22451","art, capitalism, data, internet, platform, privacy, social media, surveillance","https://monoskop.org/images/3/33/Journey_Into_a_Living_Being_From_Social_Sculpture_to_Platform_Capitalism_2020.jpg","9783000652608","111","In 1977, Joseph Beuys presented his installation _Honey Machine at the Workplace_ at documenta 6, in which tubes ran into the exhibition rooms, through which honey was pumped. The work symbolized Beuys’ idea of the expanded concept of art and of social sculpture. “Everyone is an artist” is his famous motto –not because everyone can paint, dance or make music, but because we all contribute through our productivity to a collective creativity that can be weighed as real capital and societal potential, to which Beuys ascribed the formula “art = capital.” Honey as the “spiritual nutrition of the cosmos” (Beuys) is the embodiment of this collective creativity.\n\nThese days, we deliver our creative “honey” voluntarily to internet companies like Google, Facebook, Twitter, TikTok or Amazon. Computers and smartphones, online speakers and fitness wristbands upload a large portion of our data to these companies’ servers. Even rental bikes and e-scooters collect our location data. Our every click, every Like, every photo posted and every online comment is fuel for the companies of “surveillance capitalism” (Shoshana Zuboff). They use our data to sell advertising, predict our behavior, optimize their algorithms and AI, and to keep competing companies out of the market as much as possible.\n\nThe exhibition _Journey Into a Living Being_ takes its name from a lecture Beuys gave on social sculpture at documenta. It traces the conceptual trajectory to the present, in which the internet and social media are replete with offers of creative services, but where only few reap the financial rewards. It brings together artworks spanning forty years with the aim of deciphering what has come to pass between the development of social sculpture and the rise of platform capitalism and the gig economy, and how this process is reflected in art.","https://monoskop.org/images/2/23/Journey_Into_a_Living_Being_From_Social_Sculpture_to_Platform_Capitalism_2020.pdf","http://worldcat.org/oclc/1154156506","Kunstraum Kreuzberg/Bethanien, Berlin, 2020","https://www.kunstraumkreuzberg.de/programm/eintritt-in-ein-lebewesen-von-der-sozialen-skulptur-zum-plattform-kapitalismus/"
"22399","1999","Martha Rosler: Positions in the Life World","Catherine de Zegher","https://monoskop.org/log/?p=22399","art, body, city, photography, politics, video art","https://monoskop.org/images/9/9c/Martha_Rosler_Positions_in_the_Life_World_1999.jpg","","294","Since the late 1960s, artist has produced seminal works in the fields of photography, performance, video, installation, critical writing, and theory. Committed to an art that engages a public beyond the confines of the art world, Rosler investigates how socioeconomic realities and political ideologies dominate ordinary life. Her astute critical analyses are often cloaked in deadpan wit.\n\nThis book, which accompanies the first retrospective exhibition of Rosler’s work, contains seven color photo essays by Rosler; an excerpt from the curatorial project “If You Lived Here”; essays by Alexander Alberro, Catherine de Zegher, Sylvia Eiblmayr, Jodi Hauptman, and Annette Michelson; a conversation between Rosler and Benjamin Buchloh; and a biography/bibliography along with a complete list of art works.","https://monoskop.org/images/4/48/Martha_Rosler_Positions_in_the_Life_World_1999.pdf","http://worldcat.org/oclc/41835251","Ikon Gallery, Birmingham, and Generali Foundation, Vienna, 1999","http://foundation.generali.at/en/info/archive/2000-1998/exhibitions/martha-rosler-positions-in-the-life-world.html"
"22321","2020","Open Scores: How to Program the Commons","","https://monoskop.org/log/?p=22321","archive, collaboration, commons, digital culture, digital library, education, feminism, hacking, knowledge, notation, postdigital, privacy, shadow library","https://monoskop.org/images/5/51/Open_Scores_How_to_Program_the_Commons_2020.jpg","","","The exhibition OPEN SCORES brought together a series of practices through which artists articulate their specific forms of digital commons. From online archives, to digital tools/infrastructure and educational formats, the projects envision a (post-)digital culture in which notions of collaboration, free access to knowledge, sustainable use of shared resources and data privacy are central. For the exhibition, each of the projects created a unique score to present their practice.","https://monoskop.org/images/5/53/Open_Scores_How_to_Program_the_Commons_2020.pdf","","Creating Commons, Jun 2020","http://creatingcommons.zhdk.ch/open-scores"
